Район;Сокращенное наименование;Наименование;Руководитель;Адрес местонахождения;Телефон;Режим работы;ИНН;ОГРН;Количество мест;Электронный адрес;Сайт;Наличие филиала;Наличие ЕМТС;Факс;Юридический адрес;Источник данных;Подведомственно;Метро;Прочее;МО
"Кировский";"Библиотека Кировского района, филиал №4";"Санкт-Петербургское Государственное Учреждение "Централизованная библиотечная система Кировского района", филиал №4";"Степанов Петр Иванович";"г.Санкт-Петербург, Ленинский проспект, дом 115, литер А";"753-58-76, 753-58-78, 753-58-79, 753-90-61";"13.00-20.00, сб 10.00-17.00, вс выходной";"7805041690";"1037811014922";"100";"";"";"Филиал";"Есть";"";"г.Санкт-Петербург, улица Лени Голикова, дом 31, литер А";"";"";"";"";"муниципальный округ №27"
"Кировский";"Библиотека Кировского района, филиал №5";"Санкт-Петербургское Государственное Учреждение "Централизованная библиотечная система Кировского района", филиал №5";"Степанов Петр Иванович";"г.Санкт-Петербург, Ленинский проспект, дом 135, литер А";"376-60-81, 377-60-81";"12.00-19.00, вс до 18.00, сб выходной, последний день месяца - санитарный. Летом кроме сб, вс";"7805041690";"1037811014922";"";"";"";"Филиал";"Есть";"";"г.Санкт-Петербург, улица Лени Голикова, дом 31, литер А";"";"";"";"";"муниципальный округ Княжево"
"Кировский";"Библиотека Кировского района, филиал №7";"Санкт-Петербургское Государственное Учреждение "Централизованная библиотечная система Кировского района", филиал №7";"Степанов Петр Иванович";"г.Санкт-Петербург, Дачный проспект, дом 16, корпус 7, литер А";"756-36-75";"";"7805041690";"1037811014922";"";"";"";"Филиал";"Есть";"";"г.Санкт-Петербург, улица Лени Голикова, дом 31, литер А";"";"";"";"";"муниципальный округ Княжево"
"Кировский";"Библиотека Кировского района,  филиал №9";"Санкт-Петербургское Государственное Учреждение "Централизованная библиотечная система Кировского района", филиал №9";"Степанов Петр Иванович";"г.Санкт-Петербург, улица Стойкости, дом 36, корпус 1, литер А";"750-39-14";"13.00-19.00. пт и сб 12.00-18.00, вс - выходной";"7805041690";"1037811014922";"";"";"";"Филиал";"Есть";"";"г.Санкт-Петербург, улица Лени Голикова, дом 31, литер А";"";"";"";"";"муниципальный округ №26"
"Красносельский";"Детская библиотека Красносельского района, филиал №8";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красносельского района". Детская библиотека, филиал №8";"Золотова Ирина Васильевна";"198205, г.Санкт-Петербург, проспект Ветеранов, дом 118, корпус 1, литер А";"735-54-46";"";"7807335752";"1089847228833";"";"";"";"Филиал";"Есть";"";"г.Санкт-Петербург, проспект Ветеранов, дом 155, литер А";"";"Централизованная библиотечная система Красносельского района";"";"";"муниципальное образование Урицк"
"Красносельский";"Библиотека Красносельского района, филиал №9";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красносельского района", филиал №9";"Золотова Ирина Васильевна";"198205, г.Санкт-Петербург, улица Партизана Германа, дом 22, литер Б";"736-90-80";"12.00-19.00, сб, вс - выходные, последний день месяца - санитарный";"7807335752";"1089847228833";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, проспект Ветеранов, дом 155, литер А";"";"Централизованная библиотечная система Красносельского района";"";"";"муниципальное образование Урицк"
"Красносельский";"Библиотека Красносельского района, филиал №10";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красносельского района", филиал №10";"Золотова Ирина Васильевна";"198332, г.Санкт-Петербург, Ленинский проспект, дом 92, корпус 1, литер А";"742-67-00";"";"7807335752";"1089847228833";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, проспект Ветеранов, дом 155, литер А";"";"Централизованная библиотечная система Красносельского района";"";"";"муниципальный округ Юго-Запад"
"Красносельский";"Библиотека Красносельского района, филиал № 11";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красносельского района", филиал №11";"Золотова Ирина Васильевна";"198330, г.Санкт-Петербург, Ленинский проспект, дом 97, корпус 3, литер А";"742-17-17";"";"7807335752";"1089847228833";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, проспект Ветеранов, дом 155, литер А";"";"Централизованная библиотечная система Красносельского района";"";"";"муниципальный округ Юго-Запад"
"Московский";"Библиотека им. К.Г.Паустовского";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Московского административного района" им. К.Г.Паустовского";"Новикова Татьяна Ивановна";"г.Санкт-Петербург, Варшавская улица, дом 37, корпус 1, литер А";"370-29-57, 373-73-55, 375-61-96";"12.00-19.00, вс 11.00-18.00, сб выходной";"7810219724";"1037821003967";"";"";"";"Основное, есть филиал";"";"";"г.Санкт-Петербург, Варшавская улица, дом 37, корпус 1, литер А";"";"Централизованная библиотечная система Московского административного района";"Парк Победы, Московская";"";"муниципальное образование Новоизмайловское"
"Кронштадтский";"Центральная районная библиотека";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Кронштадтского района Санкт-Петербурга "";"Киссель Евгения Викторовна";"197760, Санкт-Петербург, город Кронштадт, Советская улица, дом 49, литер А";"236-21-25";"12.00-19.00, пт выходной";"7818003420";"1027808867228";"";"";"";"Основное, есть филиал";"";"";"197760, Санкт-Петербург, город Кронштадт, Советская улица, дом 49, литер А";"";"Централизованная библиотечная система Кронштадтского района";"";"";"город Кронштадт"
"Кронштадтский";"Центральная районная детская";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Кронштадтского района Санкт-Петербурга "";"";"197760, Санкт-Петербург, город Кронштадт, Флотская улица, дом 5, литер А (кв.1-Н)";"236-24-33";"12.00 - 18.00, выходной - сб, летом выходные - сб, вс, последний день месяца - санитарный";"7818003420";"1027808867228";"";"";"";"Филиал";"";"";"197760, Санкт-Петербург, город Кронштадт, Советская улица, дом 49, литер А";"";"Централизованная библиотечная система Кронштадтского района";"";"";"город Кронштадт"
"Кронштадтский";"Библиотека Кронштадского района, филиал №1";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Кронштадтского района Санкт-Петербурга ", филиал №1";"";"Санкт-Петербург, город Кронштадт, улица Аммермана, дом 27, литер А (кв. 1Н)";"311-18-29";"12.00 - 18.00, выходной - сб, летом выходные - сб, вс, последний день месяца - санитарный";"7818003420";"1027808867228";"";"";"";"Филиал";"";"311-18-29";"197760, Санкт-Петербург, город Кронштадт, Советская улица, дом 49, литер А";"";"Централизованная библиотечная система Кронштадтского района";"";"";"город Кронштадт"
"Московский";"Библиотека  Московского района, филиал №1";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Московского административного района", филиал №1";"";"г.Санкт-Петербург, улица Типанова, дом 29, литер А";"373-27-47";"12.00-19.00, сб 11.00-18.00, вс - выходной";"7810219724";"1037821003967";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Варшавская улица, дом 37, корпус 1, литер А";"";"Централизованная библиотечная система Московского административного района";"Московская";"";"муниципальное образование Гагаринское"
"Московский";"Библиотека Московского района, филиал №2";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Московского административного района", филиал №2, "Юбилейная"";"";"196158, г.Санкт-Петербург, Московское шоссе, дом 2, литер А";"727-58-40";"12.00-19.00, сб выходной, вс 11.00-18.00. Летом кроме сб, вс";"7810219724";"1037821003967";"";"";"";"Филиал";"Проект 2008";"";"г.Санкт-Петербург, Варшавская улица, дом 37, корпус 1, литер А";"";"Централизованная библиотечная система Московского административного района";"Московская";"";"муниципальное образование Звездное"
"Курортный";"Библиотека Курортного АР, филиал №1";"Централизованная библиотечная система Курортного административного района. Библиотека, филиал №1";"Минаева Людмила Михайловна";"189810, Санкт-Петербург, город Зеленогорск, проспект Ленина, дом 25, литер А";"433-37-67";"11.00 - 18.00, сб 11.00 - 17.00,  выходные - пн, вс, последний день месяца - санитарный";"7843001160";"1047847001762";"";"";"http://www.cbs-kurort.ru/departments";"Филиал";"";"433-37-67";"189640, Санкт-Петербург, город Сестрорецк, улица Токарева, дом 7, литер А";"";"Централизованная библиотечная система Курортного административного района";"";"";"город Зеленогорск"
"Курортный";"Библиотека Курортного АР, филиал №3";"Централизованная библиотечная система Курортного административного района. Библиотека, филиал №3";"Цветкова Елена Аркадьевна";"Санкт-Петербург, поселок Комарово, 3-я Дачная улица, дом 8, литер А";"433-75-80";"12.00-18.00, вт, чт - выходные, последний день месяца - санитарный";"7843001160";"1047847001762";"";"";"http://www.cbs-kurort.ru/departments";"Филиал";"Проект 2008";"";"189640, Санкт-Петербург, город Сестрорецк, улица Токарева, дом 7, литер А";"";"Централизованная библиотечная система Курортного административного района";"";"";"поселок Комарово"
