X,Y,Действующий,Тип,Название,Город,Индекс,Индекс RU,Код страны,Страна,КТА,coord,longitude,latitude,Превышение,Принадлежность,Международный,Email,Web-сайт,Примечание
30.31035,59.9249,Действующий,Вертодром,Амбассадор,,ULLH,УЛЛХ,UU-RUSSIA,Россия,N59.92490° E030.31035°,59.92490 030.31035,30.31035,59.9249,40,ГА,,,,"1. Расположена на крыше здания одноименного отеля. 
2. Взлет и посадка производится в соответствии с РЛЭ вертолетов без использования влияния «воздушной подушки».
3. ПП расположена в городской черте вблизи исторических памятников и жилых кварталов,
поэтому заход на посадку и взлет выполняется по методике с уменьшением шума на местности. 4. Грузонапряженность до 3,4 тонн. 5. Оборудована сеткой безопасности."
29.93845,60.13515,Действующий,Вертодром,Боровая,Солнечное,ULSQ,УЛСЯ,UU-RUSSIA,Россия,N60.13515° E029.93845°,60.13515 029.93845,29.93845,60.13515,15,АОН,,,,
29.69067,59.9299,Действующий,Вертодром,Бронка,Ломоносов,HEG2,ХЕГ2,UU-RUSSIA,Россия,N59.92990° E029.69067°,59.92990 029.69067,29.69067,59.9299,7,АОН,,,,Оператор: нет данных. Промышленная зона. Частная охраняемая территория. Посадка только по согласованию. АНП зарегистрирован в СЗМТУ 10 февр 2014 № СЗП3-355.
29.70262,60.01457,Действующий,Аэродром,Бычье Поле,Кронштадт,ULLY,УЛЛЫ,UU-RUSSIA,Россия,N60.01457° E029.70262°,60.01457 029.70262,29.70262,60.01457,11,АОН,,"ully@delfin.aero, avp@delfinavia.ru, delfinavia@yandex.ru",www.delfinavia.ru,"Остров Котлин. Оператор: ОО Крондштадтский АэроКлуб ""Дельфин"". Принадлежит ВМБ Балтфлота (ВМФ России). Нкр.=(200)м."
30.30612,59.88195,Действующий,Вертодром,Варшавская,,HD7K,ХД7К,UU-RUSSIA,Россия,N59.88195° E030.30612°,59.88195 030.30612,30.30612,59.88195,16,АОН,,,,
30.1627,59.98248,Действующий,Аэродром,Геркулес,Санкт-Петербург,ULSH,УЛСХ,UU-RUSSIA,Россия,N59.98248° E030.16270°,59.98248 030.16270,30.1627,59.98248,0,АОН,,iskander013@yandex.ru,,Оператор: ? Прилёт строго по согласованию.
30.0779,59.76578,Действующий,Аэродром,Горелово,,XLLE,ЬЛЛЕ,UU-RUSSIA,Россия,N59.76578° E030.07790°,59.76578 030.07790,30.0779,59.76578,58,МО,,,,Ранее принадлежал МВД и ФСБ. Нкр.=(300)м.
30.01642,60.03395,Действующий,Аэродром,Горская,Лисий нос,XLLO,ЬЛЛО,UU-RUSSIA,Россия,N60.03395° E030.01642°,60.03395 030.01642,30.01642,60.03395,20,ДОСААФ,,spb-aeroclub@mail.ru,spb-aeroclub.ru,"Старейший аэродром ДОСААФ России, был открыт при императоре Николае II-м.  ИВПП имеет грунтовое удлинение с МК=120° на 130 м (суммарная длина 660 м)."
30.29855,59.93608,Действующий,Вертодром,ГПН-5,,HD3X,ХД3Ь,UU-RUSSIA,Россия,N59.93608° E030.29855°,59.93608 030.29855,30.29855,59.93608,4,ГА,,,,
30.32871,59.97738,Действующий,Вертодром,Грегорис Карс,Санкт-Петербург,HE9A,ХЕ9А,UU-RUSSIA,Россия,N59.97738° E030.32871°,59.97738 030.32871,30.32871,59.97738,31,АОН,,,,"Оператор: ООО ""Грегорис Карс"". Вертолеты до 3100 кг."
30.18633,59.83633,Действующий,Вертодром,ДГБ №1,Санкт-Петербург,HE5A,ХЕ5А,UU-RUSSIA,Россия,N59.83633° E030.18633°,59.83633 030.18633,30.18633,59.83633,25,МЧС,,,,
30.24278,59.97972,Действующий,Вертодром,Елагин Остров,Санкт-Петербург,HEJ8,ХЕЙ8,UU-RUSSIA,Россия,N59.97972° E030.24278°,59.97972 030.24278,30.24278,59.97972,2,АОН,,artmur2001@mail.ru,,ВС до 9000 кг
30.2464,59.97925,Недействующий,Вертодром,Елагин Остров,,XLLA,ЬЛЛА,UU-RUSSIA,Россия,N59.97925° E030.24640°,59.97925 030.24640,30.2464,59.97925,11,МО,,,,
30.19615,60.00218,Действующий,Вертодром,Клиника МЧС-1,Санкт-Петербург,HD1G,ХД1Г,UU-RUSSIA,Россия,N60.00218° E030.19615°,60.00218 030.19615,30.19615,60.00218,6,МЧС,,,http://www.arcerm.spb.ru/klinika--2.html,"Оператор: клиника МЧС.
 ВС до 12000 кг."
30.1988,60.00072,Действующий,Вертодром,Клиника МЧС-2,,HD1H,ХД1Х,UU-RUSSIA,Россия,N60.00072° E030.19880°,60.00072 030.19880,30.1988,60.00072,13,МЧС,,,http://www.arcerm.spb.ru/klinika--2.html,"Ленинградская область, Россия. ВП расположена над поверхностью (на крыше здания)."
30.4739,59.7665,Недействующий,Вертодром,Ларгус,,ULSA,УЛСА,UU-RUSSIA,Россия,N59.76650° E030.47390°,59.76650 030.47390,30.4739,59.7665,20,АОН,,,,"Оператор: ? Ранее называлась ""Ленсоветовская""."
30.19152,60.08738,Действующий,Аэродром,Левашово,,XLLV,ЬЛЛЖ,UU-RUSSIA,Россия,N60.08738° E030.19152°,60.08738 030.19152,30.19152,60.08738,24,МО,,,,"Оператор: 1 К ВВС и ПВО. ГВПП размерами 1800x80м  не поддерживается. На АД дислоцирована 87-я авиационная база (самолёты Ту-134, Ан-12, Ан-26, Ил-22, вертолёты Ми-8). Планируется сделать аэродром совместного базирования (согласно проекту: МОРФ и ФАВТ). Нкр.=(500)м. Гражданский индекс: ULLA / УЛЛА."
29.89453,59.89057,Действующий,Вертодром,Марли,Петродворец,ULLN,УЛЛН,UU-RUSSIA,Россия,N59.89057° E029.89453°,59.89057 029.89453,29.89453,59.89057,5,ГА,,,,Оператор: Балтийские авиалинии. Маркирован.  Грузонапряженность до 15 тонн. Оборудован периметровым декоративным ограждением высотой 20 см.
30.43722,59.85722,Действующий,Вертодром,Мезон,,ULLM,УЛЛМ,UU-RUSSIA,Россия,N59.85722° E030.43722°,59.85722 030.43722,30.43722,59.85722,10,АОН,,,,Оператор: физическое лицо АОН. ВС до 3100 кг. АНП зарегистрирован в СЗМТУ ВТ ФАВТ 26 дек 2013 №СЗП3-352.
30.35881,59.87356,Действующий,Вертодром,НИИ НМП,Санкт-Петербург,ULLE,УЛЛЕ,UU-RUSSIA,Россия,N59.87356° E030.35881°,59.87356 030.35881,30.35881,59.87356,12,МЧС,,,,Опознавательная маркирована ПП при учреждении здравоохранения.
