Район;Наименование объекта ;Количество шт;Тип фундамента;Тип панелей;Тип павильона
"Приморский";"Приморское шоссе автобусная остановка 15 км, нечетная сторона";"1";"конусный";"сетка";"Стандарт-облегченный"
"Приморский";"Стародеревенская ул. д. 28";"1";"конусный";"сетка";"Стандарт"
"Приморский";"Шуваловский пр. д. 49/92";"1";"конусный";"сетка";"Стандарт"
"Пушкинский";"ул. Александра Матросова д. 51";"1";"конусный";"сетка";"Стандарт"
"Пушкинский";"Колпинское шоссе четная сторона автобусная остановка   СХ"Детскосельский"";"1";"конусный";"сетка";"Стандарт"
"Фрунзенский";"Дунайский пр. д. 38";"1";"конусный";"сетка";"Стандарт"
"Колпинский";"ул.Тверская д. 32";"1";"конусный";"сетка";"Стандарт-облегченный"
"Кронштадтский";"пр. Ленина д. 57";"1";"конусный";"сетка";"Стандарт"
"Курортный";"Приморское шоссе напротив д. 261, 269,285 (местный проезд), г. Сестрорецк";"3";"конусный";"сетка";"Стандарт-облегченный"
"Петродворцовый";"ул. Первого Мая д. 64 с двух сторон, г. Петергоф";"2";"конусный";"сетка";"Стандарт-облегченный"
"Приморский";"Туристская ул. д. 30 у Богатырского пр.";"1";"конусный";"сетка";"Стандарт"
"Адмиралтейский";"Садовая ул. д. 128";"1";"конусный";"стекло";"Облегченный"
"Василеостровский";"1-ая линия д. 18 В.О.";"1";"конусный";"сетка";"Стандарт-облегченный"
"Василеостровский";"ул. Одоевского, нечетная сторона у пр. Кима, д. 6";"1";"конусный";"сетка";"Стандарт-облегченный"
"Выборгский";"Тихоокеанская ул. напротив д. 18";"1";"конусный";"стекло";"Облегченный"
"Выборгский";"Тихорецкий пр. автобусная остановка "Парк Сосновка", четная сторона";"1";"конусный";"сетка";"Стандарт"
"Выборгский";"5-й Верхний проезд у ул. Домостроителей напротив АЗС";"1";"конусный";"сетка";"Стандарт-облегченный"
"Калининский";"Гражданский пр.  д. 133";"1";"конусный";"сетка";"Стандарт-облегченный"
"Калининский";"Гражданский пр. у ул. Верности  нечетная сторона";"1";"конусный";"сетка";"Стандарт-облегченный"
"Калининский";"ул. Замшина д. 9";"1";"конусный";"сетка";"Стандарт"
"Калининский";"Кондратьевский пр. д. 89";"1";"конусный";"сетка";"Стандарт-облегченный"
"Калининский";"пр.Маршала Блюхера у ул. Замшина, четная сторона";"1";"конусный";"сетка";"Стандарт-облегченный"
"Калининский";"ул. Мечникова  д. 18";"1";"конусный";"сетка";"Стандарт-облегченный"
"Кировский";"Двинская ул. д. 10";"1";"конусный";"сетка";"Стандарт"
"Кировский";"Кронштадтская ул. напротив д. 4";"1";"конусный";"сетка";"Стандарт"
"Кировский";"ул. Маршала Говорова д. 11";"1";"конусный";"сетка";"Стандарт-облегченный"
"Кировский";"ул. Маршала Говорова д. 10";"1";"конусный";"сетка";"Стандарт"
"Кировский";"ул. Маршала Говорова д. 22";"1";"конусный";"сетка";"Стандарт"
"Кировский";"ул. Маршала Говорова д. 29";"1";"конусный";"сетка";"Стандарт"
"Кировский";"ул. Трефолева д. 40";"1";"конусный";"сетка";"Стандарт"
"Колпинский";"Дорога на Металлострой у Центрального проезда, с двух сторон";"2";"плита";"сетка";"Стандарт-облегченный"
"Колпинский";"Заводской пр. д. 32";"1";"плита";"сетка";"Стандарт"
"Колпинский";"Загородная ул. автобусная остановка "2-е отделение комбината Победа"";"1";"плита";"сетка";"Стандарт-облегченный"
