Район;Объект;Площадь проезжей части, тыс. м2;Площадь тротуара, тыс. м2;Всего, тыс. м2;Стоимость, тыс. руб.
"КРАСНОСЕЛЬСКИЙ";"ул. Пограничника Гарькавого у д.40";"0,14";"0";"0,14";"890,07"
"КРАСНОСЕЛЬСКИЙ";"Пересечение пр. Народного Ополчения и ул. Летчика Пилютова";"0,22";"0";"0,22";"394,33"
"КРАСНОСЕЛЬСКИЙ";"Пересечение пр. Народного Ополчения и ул. Пограничника Гарькавого";"0,18";"0";"0,18";"414,54"
"КРОНШТАДТСКИЙ";"ул. Восстания от ул. Рошаля до д. № 80";"14,16";"1,39";"15,55";"16003,78"
"КРОНШТАДТСКИЙ";"Коммунистическая ул. от Макаровской ул. за Манежный пер.";"3,24";"2,6";"5,84";"8315,71"
"КРОНШТАДТСКИЙ";"Красная ул. от Макаровской ул. до Манежного пер.";"3,04";"3,6";"6,64";"8098,51"
"КРОНШТАДТСКИЙ";"Интернациональная ул. от ул. Комсомола до ул. Мануильского";"2,63";"1,89";"4,52";"5310,31"
"КРОНШТАДТСКИЙ";"Станюковича ул. от ул. Литке до ул. Гидростроителей";"4,91";"1,84";"6,75";"7690,23"
"КРОНШТАДТСКИЙ";"Советская ул. от пр. Ленина до ул. Рошаля";"9,35";"5,59";"14,94";"15643,6"
"КРОНШТАДТСКИЙ";"Проезд  без названия от Кронштадтского шоссе до автозаправочной станции №60";"3";"0";"3";"3702,03"
"КУРОРТНЫЙ";"ул. Воскова (от р. Сестры до линии Сестрорецкой ж.д.) (г. Сестрорецк)";"9,15";"3,92";"13,07";"10372,58"
"КУРОРТНЫЙ";"ул. Мосина (от ул. Воскова до 3-й Поперечной ул.) (г. Сестрорецк)";"15,26";"5,25";"20,51";"16703,05"
"КУРОРТНЫЙ";"ул. Борисова (от ул. Володарского до наб. р. Сестры) (г. Сестрорецк)";"5,93";"0,94";"6,87";"5962,36"
