Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"Г. ПУШКИН, НОВОДЕРЕВЕНСКАЯ УЛ., УГ. УЛ. УДАЛОВСКОГО";"";"ул. Удаловская, ул. Новодеревенская";"59,72146916";"30,4318771";"Остановка";"179,375,375А"
"НАБ. ОБВОДНОГО КАНАЛА";"НАБ. ОБВОДНОГО КАНАЛА";"Московский пр., Угловой пер.";"59,90976098";"30,3185711";"Остановка";"2М,2МА"
"5-Я КРАСНОАРМЕЙСКАЯ УЛ.";"5-Я КРАСНОАРМЕЙСКАЯ УЛ.";"Клинский пр., Московский пр.";"59,9133838";"30,3184185";"Остановка";"2М,2МА"
"ПР.ЭНГЕЛЬСА, УГ. ПР. ЛУНАЧАРСКОГО";"ПР.ЭНГЕЛЬСА, УГ. ПР. ЛУНАЧАРСКОГО";"пр. Энгельса, пр. Луначарского";"60,04427569";"30,3291378";"Остановка";"2М,2МБ"
""СТ. МЕТРО "ПР.ПРОСВЕЩЕНИЯ"";""СТ. МЕТРО "ПР.ПРОСВЕЩЕНИЯ"";"пр. Энгельса, пр. Просвещения";"60,05348964";"30,3357601";"Остановка";"2М,2МБ"
"АНИСИМОВСКАЯ ДОРОГА, УГ. УМАНСКОГО ПЕР.";"АНИСИМОВСКАЯ ДОРОГА, УГ. УМАНСКОГО ПЕР.";"Уманский переулок";"59,96516953";"30,4520397";"Остановка";"19,131"
"АНИСИМОВСКАЯ ДОРОГА, 41, ПО ТРЕБОВАНИЮ";"АНИСИМОВСКАЯ ДОРОГА, 41, ПО ТРЕБОВАНИЮ";"Уманский переулок, Анисимовская дорога";"59,97397832";"30,4474201";"Остановка";"19,131"
"АНИСИМОВСКАЯ ДОРОГА, 41, ПО ТРЕБОВАНИЮ";"АНИСИМОВСКАЯ ДОРОГА, 41, ПО ТРЕБОВАНИЮ";"Уманский переулок, Анисимовская дорога";"59,97366388";"30,4468937";"Остановка";"19,131"
"ВОКЗАЛЬНАЯ ПЛ.";"";"ул. Октябрьская, Банковский переулок";"59,74935583";"30,61203";"Остановка";"387"
"ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ №5";"ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ №5";"Дорога на ДСК, ул. Финляндская";"59,75338837";"30,5522118";"Остановка";"364,367,368,394"
"УЛ. ТРУДА, 24";"";"ул. Загородная, ул. Речная";"59,79560097";"30,6015396";"Остановка";"332,336,337А"
"ПОС. ПОНТОННЫЙ, ДОРОГА НА ФАНЕРНЫЙ ЗАВОД";"";"Петрозаводское шоссе, ул. Пролетарской Победы";"59,79060784";"30,6162586";"Остановка";"332,335,335А,336"
"26 КМ";"";"Петрозаводское шоссе, ул. Александра Товпеко";"59,7930856";"30,6111526";"Остановка";"335,335А,336"
"УЛ. ТРУДА, 24";"";"ул. Загородная, ул. Речная";"59,795357";"30,6012726";"Остановка";"332,336,337А"
"САПЁРНЫЙ ПЕР.";"";"ул. Загородная, Сапёрный переулок";"59,76048885";"30,5981064";"Остановка";"332,336,337А,387"
